Date,Open,High,Low,Close,Adj Close,Volume
2018-04-03,167.639999,168.750000,164.880005,168.389999,167.156921,30278000
2018-04-04,164.880005,172.009995,164.770004,171.610001,170.353363,34605500
2018-04-05,172.580002,174.229996,172.080002,172.800003,171.534637,26933200
2018-04-06,170.970001,172.479996,168.199997,168.380005,167.147018,35005300
2018-04-09,169.880005,173.089996,169.850006,170.050003,168.804779,29017700
2018-04-10,173.000000,174.000000,171.529999,173.250000,171.981339,28408600
2018-04-11,172.229996,173.919998,171.699997,172.440002,171.177277,22431600
2018-04-12,173.410004,175.000000,173.039993,174.139999,172.864822,22889300
2018-04-13,174.779999,175.839996,173.850006,174.729996,173.450500,25124300
2018-04-16,175.029999,176.190002,174.830002,175.820007,174.532532,21578400
2018-04-17,176.490005,178.940002,176.410004,178.240005,176.934799,26605400
2018-04-18,177.809998,178.820007,176.880005,177.839996,176.537720,20754500
2018-04-19,173.759995,175.389999,172.660004,172.800003,171.534637,34808800
2018-04-20,170.600006,171.220001,165.429993,165.720001,164.506470,65491100
2018-04-23,166.830002,166.919998,164.089996,165.240005,164.029999,36515500
2018-04-24,165.669998,166.330002,161.220001,162.940002,161.746841,33692000
2018-04-25,162.619995,165.419998,162.410004,163.649994,162.451630,28382100
2018-04-26,164.119995,165.729996,163.369995,164.220001,163.017471,27963000
2018-04-27,164.000000,164.330002,160.630005,162.320007,161.131378,35655800
2018-04-30,162.130005,167.259995,161.839996,165.259995,164.049835,42427400
2018-05-01,166.410004,169.199997,165.270004,169.100006,167.861725,53569400
2018-05-02,175.229996,177.750000,173.800003,176.570007,175.277039,66539400
2018-05-03,175.880005,177.500000,174.440002,176.889999,175.594681,34068200
2018-05-04,178.250000,184.250000,178.169998,183.830002,182.483856,56201300
2018-05-07,185.179993,187.669998,184.750000,185.160004,183.804123,42451400
2018-05-08,184.990005,186.220001,183.669998,186.050003,184.687607,28402800
2018-05-09,186.550003,187.399994,185.220001,187.360001,185.988022,23211200
2018-05-10,187.740005,190.369995,187.649994,190.039993,188.648392,27989300
2018-05-11,189.490005,190.059998,187.449997,188.589996,187.930908,26212200
2018-05-14,189.009995,189.529999,187.860001,188.149994,187.492432,20778800
2018-05-15,186.779999,187.070007,185.100006,186.440002,185.788422,23695200
2018-05-16,186.070007,188.460007,186.000000,188.179993,187.522324,19183100
2018-05-17,188.000000,188.910004,186.360001,186.990005,186.336502,17294000
2018-05-18,187.190002,187.809998,186.130005,186.309998,185.658875,18297700
2018-05-21,188.000000,189.270004,186.910004,187.630005,186.974258,18400800
2018-05-22,188.380005,188.880005,186.779999,187.160004,186.505905,15240700
2018-05-23,186.350006,188.500000,185.759995,188.360001,187.701706,19467900
2018-05-24,188.770004,188.839996,186.210007,188.149994,187.492432,20401000
2018-05-25,188.229996,189.649994,187.649994,188.580002,187.920944,17461000
2018-05-29,187.600006,188.750000,186.869995,187.899994,187.243317,22369000
2018-05-30,187.720001,188.000000,186.779999,187.500000,186.844711,18690500
2018-05-31,187.220001,188.229996,186.139999,186.869995,186.216904,27482800
2018-06-01,187.990005,190.259995,187.750000,190.240005,189.575150,23250400
